date,death
Feb 25,4
Feb 26,5
Feb 27,2
Feb 28,5
Feb 29,4
Mar 1,8
Mar 2,7
Mar 3,18
Mar 4,29
Mar 5,28
Mar 6,47
Mar 7,55
Mar 8,38
Mar 9,145
Mar 10,136
Mar 11,184
Mar 12,235
Mar 13,249
Mar 14,316
Mar 15,243
Mar 16,599
Mar 17,439
Mar 18,619
Mar 19,739
Mar 20,872
Mar 21,"1,071"
Mar 22,"1,437"
Mar 23,"1,339"
Mar 24,"1,531"
Mar 25,"1,892"
Mar 26,"2,149"
Mar 27,"2,278"
Mar 28,"2,798"
Mar 29,"2,781"
Mar 30,"2,603"
Mar 31,"3,021"
Apr 1,"3,417"
Apr 2,"3,570"
Apr 3,"3,701"
Apr 4,"5,331"
Apr 5,"4,263"
Apr 6,"3,070"
Apr 7,"3,553"
Apr 8,"5,160"
Apr 9,"4,069"
Apr 10,"4,904"
Apr 11,"4,315"
Apr 12,"3,534"
Apr 13,"3,189"
Apr 14,"3,244"
Apr 15,"4,442"
Apr 16,"4,901"
Apr 17,"4,186"
Apr 18,"3,896"
Apr 19,"3,705"
Apr 20,"2,489"
Apr 21,"2,898"
Apr 22,"4,021"
Apr 23,"3,424"
Apr 24,"3,088"
Apr 25,"3,228"
Apr 26,"2,944"
Apr 27,"1,553"
Apr 28,"2,458"
Apr 29,"3,053"
Apr 30,"2,734"
May 1,"2,401"
May 2,"2,164"
May 3,"1,930"
May 4,"1,250"
May 5,"1,597"
May 6,"2,254"
May 7,"2,178"
May 8,"1,808"
May 9,"1,994"
May 10,"1,194"
May 11,965
May 12,"1,298"
May 13,"1,922"
May 14,"1,579"
May 15,"1,656"
May 16,"1,376"
May 17,"1,154"
May 18,664
May 19,855
May 20,"1,350"
May 21,"1,150"
May 22,"1,593"
May 23,953
May 24,873
May 26,863
May 27,842
May 28,"1,102"
May 29,958
May 30,927
May 31,725
Jun 1,435
Jun 2,529
Jun 3,818
Jun 4,831
Jun 5,607
Jun 6,800
Jun 7,603
Jun 8,376
Jun 9,470
Jun 10,719
Jun 11,747
Jun 12,483
Jun 13,570
Jun 14,463
Jun 15,318
Jun 16,362
Jun 17,666
Jun 18,652
Jun 19,"1,845"
Jun 20,469
Jun 21,309
Jun 22,282
Jun 23,360
Jun 24,537
Jun 25,429
Jun 26,429
Jun 27,505
Jun 28,365
Jun 29,289
Jun 30,337
Jul 1,451
Jul 2,521
Jul 3,449
Jul 4,435
Jul 5,357
Jul 6,301
Jul 7,334
Jul 8,506
Jul 9,484
Jul 10,409
Jul 11,422
Jul 12,368
Jul 13,266
Jul 14,293
Jul 15,402
Jul 16,465
Jul 17,405
Jul 18,527
Jul 19,252
Jul 20,127
Jul 21,277
Jul 22,374
Jul 23,400
Jul 24,352
Jul 25,379
Jul 26,300
Jul 27,205
Jul 28,274
Jul 29,343
Jul 30,408
Jul 31,369
Aug 1,366
Aug 2,252
Aug 3,299
Aug 4,267
Aug 5,409
Aug 6,417
Aug 7,300
Aug 8,354
Aug 9,307
Aug 10,320
Aug 11,378
Aug 12,287
Aug 13,371
Aug 14,400
Aug 15,326
Aug 16,476
Aug 17,260
Aug 18,269
Aug 19,462
Aug 20,352
Aug 21,349
Aug 22,360
Aug 23,322
Aug 24,289
Aug 25,284
Aug 26,448
Aug 27,439
Aug 28,341
Aug 29,338
Aug 30,323
Aug 31,334
Sep 1,403
Sep 2,465
Sep 3,446
Sep 4,568
Sep 5,332
Sep 6,413
Sep 7,322
Sep 8,440
Sep 9,525
Sep 10,320
Sep 11,64
Sep 12,379
Sep 13,334
Sep 14,465
Sep 15,505
Sep 16,864
Sep 17,600
Sep 18,600
Sep 19,635
Sep 20,470
Sep 21,517
Sep 22,642
Sep 23,735
Sep 24,699
Sep 25,709
Sep 26,648
Sep 27,623
Sep 28,607
Sep 29,661
Sep 30,883
Oct 1,856
Oct 2,778
Oct 3,767
Oct 4,665
Oct 5,547
Oct 6,930
Oct 7,966
Oct 8,"1,026"
Oct 9,"1,075"
Oct 10,794
Oct 11,965
Oct 12,903
Oct 13,834
Oct 14,"1,380"
Oct 15,"1,327"
Oct 16,"1,444"
Oct 17,"1,288"
Oct 18,"1,177"
Oct 19,"1,271"
Oct 20,"1,399"
Oct 21,"1,722"
Oct 22,"1,665"
